,mean,std dev,min,25%,50%,75%,max,skewness,kurtosis,
crmrte,0.03,0.02,0.01,0.02,0.03,0.04,0.1,1.3,1.63,
prbarr,29.52,13.77,9.28,20.49,27.15,34.49,109.09,2.57,11.91,
prbconv,55.09,35.42,6.84,34.42,45.17,58.51,212.12,2.07,5.03,
prbpris,41.06,8.07,15.0,36.42,42.22,45.76,60.0,-0.46,0.77,
avgsen,9.69,2.83,5.38,7.38,9.11,11.46,20.7,1.02,1.7,
polpc,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.07,34.44,
density,1.44,1.52,0.2,0.55,0.98,1.57,8.83,2.7,8.06,
taxpc,38.16,13.11,25.69,30.73,34.92,41.01,119.76,3.35,16.73,
west,0.23,0.43,0.0,0.0,0.0,0.0,1.0,1.28,-0.36,
central,0.38,0.49,0.0,0.0,0.0,1.0,1.0,0.51,-1.78,
east,0.39,0.49,0.0,0.0,0.0,1.0,1.0,0.46,-1.83,
urban,0.09,0.29,0.0,0.0,0.0,0.0,1.0,2.94,6.78,
pctmin80,25.71,16.98,1.28,10.02,24.85,38.18,64.35,0.37,-0.77,
pctymle,0.08,0.02,0.06,0.07,0.08,0.08,0.25,4.64,27.96,
wcon,285.35,47.75,193.64,250.75,281.16,314.98,436.77,0.62,0.3,
wtuc,410.91,77.36,187.62,374.33,404.78,440.68,613.23,0.07,1.29,
wtrd,210.92,33.87,154.21,190.71,202.99,224.28,354.68,1.49,3.54,
wfir,321.62,54.0,170.94,285.56,317.13,342.63,509.47,0.83,1.84,
wser,275.34,207.4,133.04,229.34,253.12,277.65,2177.07,8.85,81.88,
wmfg,336.03,88.23,157.41,288.6,321.05,359.89,646.85,1.45,2.93,
wfed,442.62,59.95,326.1,398.78,448.85,478.26,597.95,0.13,-0.25,
wsta,357.74,43.29,258.33,329.27,358.4,383.15,499.59,0.37,0.85,
wloc,312.28,28.13,239.17,297.23,307.65,328.78,388.09,0.3,0.9,
